eTrappedCharge(C1(n63958_0s_des)) X,eTrappedCharge(C1(n63958_0s_des)) Y,eTrappedCharge(C2(n63958_0s_des)) X,eTrappedCharge(C2(n63958_0s_des)) Y,eTrappedCharge(C3(n63958_0s_des)) X,eTrappedCharge(C3(n63958_0s_des)) Y,eTrappedCharge(C4(n63958_0s_des)) X,eTrappedCharge(C4(n63958_0s_des)) Y,hTrappedCharge(C1(n63958_0s_des)) X,hTrappedCharge(C1(n63958_0s_des)) Y,hTrappedCharge(C2(n63958_0s_des)) X,hTrappedCharge(C2(n63958_0s_des)) Y,hTrappedCharge(C3(n63958_0s_des)) X,hTrappedCharge(C3(n63958_0s_des)) Y,hTrappedCharge(C4(n63958_0s_des)) X,hTrappedCharge(C4(n63958_0s_des)) Y
0.033578962,3.1952645e+19,0.033374999,4.0758774e+19,0.033374999,4.0758691e+19,0.033374999,4.0756089e+19,0.033578962,2.8876345e-16,0.033374999,8.0025739e-05,0.033374999,2.7272993e-05,0.033374999,1.8932916e-17
0.033750001,2.2845587e+19,0.033600062,4.0758374e+19,0.033445418,4.0758144e+19,0.033702679,4.0588331e+19,0.033750001,2.4055262e-07,0.033600062,3.2841017e-05,0.033445418,2.0223664e-05,0.033702679,1.7603433e-17
0.034092072,1.3619477e+19,0.033750001,4.0757853e+19,0.033750001,4.0756394e+19,0.033750001,4.055885e+19,0.034092072,7.1625565e+17,0.033750001,1.7981009e-06,0.033750001,5.3875661e-07,0.033750001,1.7665848e-17
0.034499999,3.0083664e+18,0.034200124,4.0750624e+19,0.034359161,4.0708129e+19,0.033844646,3.9353849e+19,0.034499999,1.1433301e+18,0.034200124,7.142273e-07,0.034359161,1.4530632e-07,0.033844646,3.8234187e-17
0.034703963,3.530205e+10,0.034499999,4.0745595e+19,0.034499999,4.0700528e+19,0.034499999,3.467271e+19,0.034703963,1.2248695e+18,0.034499999,3.4502414e-10,0.034499999,5.6052148e-11,0.034499999,1.1679351e-16
0.035250001,1.0023951e+10,0.035100061,4.055062e+19,0.034570418,4.065142e+19,0.034827679,2.6916593e+19,0.035250001,1.2103427e+18,0.035100061,6.0353032e-11,0.034570418,4.0302745e-11,0.034827679,3.142841e-16
0.035453964,1226657.7,0.035250001,4.0491795e+19,0.035250001,3.9377369e+19,0.035250001,1.2716847e+19,0.035453964,1.3986504e+18,0.035250001,5.8767896e-15,0.035250001,8.3074435e-17,0.035250001,2.3369418e-08
0.035999998,251211.55,0.035850059,3.637039e+19,0.03532042,3.8469017e+19,0.035577677,4.3733817e+18,0.035999998,8.673744e+17,0.035850059,9.3447974e-16,0.03532042,4.8440844e-17,0.035577677,5.7773599e-08
0.036203962,151.40534,0.035999998,3.5149016e+19,0.035999998,2.3059042e+19,0.035999998,1.1335279e+18,0.036203962,9.1992874e+17,0.035999998,9.4495252e-17,0.035999998,4.2095464e-16,0.035999998,2.4444272e+17
0.03675,24.313629,0.036600061,1.5596098e+19,0.036070418,2.0763627e+19,0.036327679,3.1423228e+09,0.03675,9.8740525e+17,0.036600061,1.1924071e-15,0.036070418,5.5681056e-14,0.036327679,8.5826643e+17
0.036953963,91.157052,0.03675,1.0638919e+19,0.03675,2.6349213e+18,0.03675,1.789028e+08,0.036953963,2.6113761e+18,0.03675,1.5232236e-15,0.03675,1.2697768e-09,0.03675,1.4383671e+18
0.037500001,99.010305,0.037350062,1.9080209e+18,0.036820419,2.0632513e+18,0.03707768,46886.367,0.037500001,5.6123254e+18,0.037350062,1.1245054e+19,0.036820419,1.3481527e+18,0.03707768,5.8128639e+18
0.037907928,1834.0423,0.037500001,1.4577561e+08,0.037500001,43948197,0.037500001,19661.664,0.037907928,1.8529925e+19,0.037500001,1.4081411e+19,0.037500001,1.4128512e+19,0.037500001,1.0263558e+19
0.038249999,1971.3162,0.037799876,4.5357665e+08,0.03764084,1.04905e+08,0.038155355,3115560.7,0.038249999,2.8300604e+19,0.037799876,2.7086032e+19,0.03764084,2.0066724e+19,0.038155355,3.638083e+19
0.038453963,14225.944,0.038249999,8.9236902e+08,0.038249999,2.6288774e+08,0.038249999,3220138.6,0.038453963,3.5687534e+19,0.038249999,4.6782051e+19,0.038249999,4.5689724e+19,0.038249999,4.0066686e+19
0.038624998,15186.547,0.038475059,4.5066406e+09,0.038320418,7.3013942e+08,0.038577676,23117482,0.038624998,4.2013435e+19,0.038475059,4.858786e+19,0.038320418,4.6440907e+19,0.038577676,4.7639035e+19
0.038726982,33797.028,0.038624998,6.8678343e+09,0.038624998,2.0101752e+09,0.038624998,23817148,0.038726982,4.3969536e+19,0.038624998,4.9879981e+19,0.038624998,4.9837824e+19,0.038624998,4.8870881e+19
0.038812499,35278.095,0.038737528,1.1890741e+10,0.03866021,2.6542584e+09,0.038788836,52534685,0.038812499,4.6027212e+19,0.038737528,4.9889895e+19,0.03866021,4.9853882e+19,0.038788836,4.9591949e+19
0.038863491,50161.366,0.038812499,1.5136461e+10,0.038812499,4.4439314e+09,0.038812499,53561719,0.038863491,4.6539069e+19,0.038812499,4.9898531e+19,0.038812499,4.9948127e+19,0.038812499,4.9747156e+19
0.03890625,51360.828,0.038868766,1.8911618e+10,0.038830105,4.9241947e+09,0.038894419,75784307,0.03890625,4.7159907e+19,0.038868766,4.9884465e+19,0.038830105,4.9946969e+19,0.038894419,4.9844384e+19
0.038931746,60554.398,0.03890625,2.1345039e+10,0.03890625,6.2579702e+09,0.03890625,76589132,0.038931746,4.7328518e+19,0.03890625,4.9875473e+19,0.03890625,4.9947027e+19,0.03890625,4.9869411e+19
0.038953125,61296.409,0.038934384,2.3589681e+10,0.038915053,6.5434145e+09,0.03894721,90006711,0.038953125,4.7547622e+19,0.038934384,4.9867186e+19,0.038915053,4.9945991e+19,0.03894721,4.9896402e+19
0.038965873,66371.15,0.038953125,2.5035776e+10,0.038953125,7.3367344e+09,0.038953125,90496625,0.038965873,4.7613714e+19,0.038953125,4.9861844e+19,0.038953125,4.9943765e+19,0.038953125,4.9903271e+19
0.038976561,66780.823,0.038967192,2.6249066e+10,0.038957525,7.4910739e+09,0.038973603,97806497,0.038976561,4.7701915e+19,0.038967192,4.9857476e+19,0.038957525,4.9943168e+19,0.038973603,4.9914671e+19
0.038989309,80124.508,0.038976561,2.7030651e+10,0.038976561,7.9202788e+09,0.038976561,98074710,0.038989309,4.8018616e+19,0.038976561,4.9854655e+19,0.038976561,4.9941666e+19,0.038976561,4.9917668e+19
0.039000001,81195.735,0.038990628,3.0390264e+10,0.038980965,8.3498149e+09,0.038997043,1.1787399e+08,0.039000001,4.8457115e+19,0.038990628,4.983953e+19,0.038980965,4.9939485e+19,0.038997043,4.9952995e+19
0.039000001,81195.735,0.039000001,3.2562478e+10,0.039000001,9.5404927e+09,0.039000001,1.1859231e+08,0.039000001,4.8457115e+19,0.039000001,4.98297e+19,0.039000001,4.9933575e+19,0.039000001,4.9963507e+19
0.039008498,6007.945,0.039000001,3.2562478e+10,0.039000001,9.5404927e+09,0.039000001,1.1859231e+08,0.039008498,2.1817488e+19,0.039000001,4.98297e+19,0.039000001,4.9933575e+19,0.039000001,4.9963507e+19
